word	roman
กูเกิลเทร็นดส์	google trends
กราฟิก	graphic
ไกลโคไซด์	glycoside
กูเกิลแมป	google maps
เกย์ลุสไซต์	gaylussite
กราฟ	graph
กูเกิลโครม	google chrome
กวาร์กัม	guar gum
แกรนิต	granite
กรอสซูลาไรต์	grossularite
เกม	games
เกรแฮม	graham
เกียร์	gear
กูด	good
เกลาเบอไรต์	glauberite
กะรัต	karat
แกมมา	gamma
กิฟต์เวาเชอร์	gift voucher
แกสเพไอต์	gaspeite
กาลีนา	galena
กลูโคส	glucose
กาแลกไซต์	galaxite
แกลเลอรี	gallery
กลอโคโครไอต์	glaucochroite
การ์เนียไรต์	garnierite
กลอโคดอต	glaucodot
แกดจิต	gadget
แกรไฟต์	graphite
แก๊ส	gas
เกมส์	game
โกชีไนต์	goshenite
กิโล	kilo
กูเกิล	google
กูเกิลทอล์ค	google talk
กัฟเวอร์แนนซ์	governance
โกลว์	glow
กอล์ฟ	golf
กุ๊ก	cook
แกลเลียม	gallium
กูเกิ้ล	google
กาลิเลโอ กาลิเลอิ	galileo galilei
กาโดลิไนต์	gadolinite
ก๊อซ	gauze
แก๊ป	cap
กูบลิไนต์	gublinite
แกโดลิเนียม	gadolinium
กาแล็กซี	galaxy
กัฟฟี่	guffy
เกราไทต์	groutite
กีตาร์	guitar
กรูป	group
เกมโชว์	game show
การ์ตูน	cartoon
กาเบียล	gabriel
กาแล็กโทส	galactose
กะรัต	carat
กรีนอกไคต์	greenockite
กูเกิลไดรฟ์	google drive
กำมะถัน	sulphur
กรีนโอ๊ก	green oak
ไกด์	guide
กีย์เซอไรต์	geyserite
กิโลเฮิรตซ์	kilohertz
ก๊อบปี้	copy
กัปตัน	captain
แกลลิไมมัส	gallimimus
กิฟต์	gift
กลาสโกว	glasgow
เกอไทต์	goethite
กลาเซอไรต์	glaserite
กวาร์	guar
การ์เนต	garnet
ก๊าซ	gas
กรูเนอไรต์	grunerite
เกม	game
กาห์ไนต์	gahnite
เกาลิน	kaolin
คลิ๊ก	click
คาร์เนต์	carnet
แคคตัส	cactus
คอริสเตอร์	chorister
เคโอลิไนต์	kaolinite
คอนโด	condo
คาร์โบรันดัม	carborundum
คอนเซ็ปต์	concept
คริซาลิส	chrysalis
คอนโดรไดต์	chondrodite
แคมีโอ	cameo
คาลีไบต์	chalybite
เคอร์ไนต์	kernite
คาร์บอน	carbon
แคนดิด	candid
คอส	cause
แคลิฟอร์เนียม	californium
คาลโคไพไรต์	chalcopyrite
โครคอยต์	crocoite
คาร์เทล	cartel
คอร์เดต	chordate
โครเมียม	chromium
แคช	cash
คอร์ติซอล	cortisol
เคร์เรียร์	carrier
แคเชียร์	cashier
คัมแบล็ค	come black
เคเดอร์	cadre
คลาสสิก	classic
คลอส	clause
คลาวด์	cloud
แครอล	carol
โคลัมไบต์	columbite
แครักเตอร์	character
แค็ต	cat
เคอร์เนล	kernel
คีออสก์	kiosk
แคราแคล	caracal
คอสติกโซดา	caustic soda
คิเมอรา	chimaera
คลัตช์	clutch
เคราเวย์	caraway
เคลียร์	clear
แคร์เรียน	carrion
คาร์ดามัม	cardamom
แคปซูล	capsule
เคป	cape
แคบิน	cabin
คริปทอมีเลน	cryptomelane
คาปูชิโน่	cappuccino
คาเฟ	café
แคลงก์	clank
เครนเนอไรต์	krennerite
คาริสมา	charisma
คอเมดี	comedy
แคมเปญ	campaign
แคนเดิล	candle
คาร์พิต	carpet
แคลมมี	clammy
คลอไรต์	chlorite
ค็อกคัส	coccus
แคชลิส	cashless
คูไกต์	cookeite
